N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,2,105,0.5116567499648729
15,0.5,3,105,0.9930955718630181
15,0.5,1,106,0.8586601426680316
15,0.5,2,106,0.7464406278714754
15,0.5,3,106,0.9478664160801317
15,0.5,1,107,0.4372470202255224
15,0.5,2,107,0.7987178172797778
15,0.5,3,107,0.9041310675335615
15,0.5,1,108,0.9143933465672629
15,0.5,2,108,0.8901595217408491
15,0.5,3,108,0.911671543564605
15,0.5,1,109,0.7130920266952812
15,0.5,2,109,0.9485183948166223
15,0.5,3,109,0.9383821969162828
15,0.5,1,110,0.654286076162224
15,0.5,2,110,0.7941803119287134
15,0.5,3,110,0.8921370882487639
15,0.5,1,111,0.05200361178246652
15,0.5,2,111,0.7571035432543258
15,0.5,3,111,0.8584527931515421
15,0.5,1,112,0.7647039257932907
15,0.5,2,112,0.6881194321348127
15,0.5,3,112,0.9184355613047902
15,0.5,1,113,0.7197425227531963
15,0.5,2,113,0.9740371789645855
15,0.5,3,113,0.8559044353009572
15,0.5,1,114,0.3204144464034931
15,0.5,2,114,0.9155464032690499
15,0.5,3,114,0.6820271056615416
15,0.5,1,115,0.7734448925570286
15,0.5,2,115,0.6434976109722005
15,0.5,3,115,0.8897480627689623
15,0.5,1,116,0.742585376039636
15,0.5,2,116,0.8409831185486852
15,0.5,3,116,0.9585711986762684
15,0.5,1,117,0.8955264216338976
15,0.5,2,117,0.7625761969413363
15,0.5,3,117,0.7029467215362568
15,0.5,1,118,0.9283247419448954
15,0.5,2,118,0.8939081870754395
15,0.5,3,118,0.9328342647801707
15,0.5,1,119,0.9085601625326158
15,0.5,2,119,0.8757027080567986
15,0.5,3,119,0.9474666155835091
15,0.5,1,120,0.957614132268579
15,0.5,2,120,0.9727215749609067
15,0.5,3,120,0.9834830697801807
15,0.5,1,121,0.080136616738787
15,0.5,2,121,0.6827705148687719
15,0.5,3,121,0.9040152045940429
15,0.5,1,122,0.6248580799872796
15,0.5,2,122,0.5630675368387762
15,0.5,3,122,0.981081073671079
15,0.5,1,123,0.8664029633799464
15,0.5,2,123,0.6596185639008787
15,0.5,3,123,0.6681189971554052
15,0.5,1,124,0.9565549391226423
15,0.5,2,124,0.8853090922733978
15,0.5,3,124,0.6730478130149177
15,0.5,1,125,0.7534437451113255
15,0.5,2,125,0.8597021686836477
15,0.5,3,125,0.8646156207287502
15,0.5,1,126,0.09415718788008033
15,0.5,2,126,0.8249313218759253
15,0.5,3,126,0.9140241234856754
15,0.5,1,127,0.0012058958923882289
15,0.5,2,127,0.9212969592854171
15,0.5,3,127,0.985790832073187
15,0.5,1,128,0.3858301461589805
15,0.5,2,128,0.8570044086052786
15,0.5,3,128,0.9923458112243272
15,0.5,1,129,0.9256092749296644
15,0.5,2,129,0.5314884577088093
15,0.5,3,129,0.7237413533362017
15,0.5,1,130,0.018282224552515998
15,0.5,2,130,0.5174574250029422
15,0.5,3,130,0.8952774514318783
15,0.5,1,131,0.9396126287012905
15,0.5,2,131,0.9192226884140133
15,0.5,3,131,0.9433535942333074
15,0.5,1,132,0.5206286729736238
15,0.5,2,132,0.8082040745447556
15,0.5,3,132,0.8898277635202136
15,0.5,1,133,0.8363095364167403
15,0.5,2,133,0.9720929019436875
15,0.5,3,133,0.8287848392733346
15,0.5,1,134,0.20698402968445798
15,0.5,2,134,0.7446089084223942
15,0.5,3,134,0.6811495290544719
15,0.5,1,135,0.5224809274251878
15,0.5,2,135,0.9621754319333254
15,0.5,3,135,0.9445040468597795
15,0.5,1,136,0.9118860797831093
15,0.5,2,136,0.9406663256079547
15,0.5,3,136,0.977595860186624
15,0.5,1,137,0.43645283969001697
15,0.5,2,137,0.6702807204544917
15,0.5,3,137,0.9459286118038138
15,0.5,1,138,0.033313242737225565
15,0.5,2,138,0.8804320397239586
15,0.5,3,138,0.9735946005408169
15,0.5,1,139,0.6388416666354906
15,0.5,2,139,0.8549289674924933
15,0.5,3,139,0.7740401297851217
15,0.5,1,140,0.9667523262596496
15,0.5,2,140,0.5879319111160082
15,0.5,3,140,0.708581260333626
15,0.5,1,141,0.897218505858223
15,0.5,2,141,0.87706630161338
15,0.5,3,141,0.7914534278871642
15,0.5,1,142,0.9527196900241761
15,0.5,2,142,0.8434990455102732
15,0.5,3,142,0.6742163770134222
15,0.5,1,143,0.824059980083519
15,0.5,2,143,0.9146565047932442
15,0.5,3,143,0.9647877185167415
15,0.5,1,144,0.4412263584822689
15,0.5,2,144,0.5618787105049527
15,0.5,3,144,0.9575950952175115
15,0.5,1,145,0.7965208931177561
15,0.5,2,145,0.9824331188758
15,0.5,3,145,0.8156803387528577
15,0.5,1,146,0.10031196582278486
15,0.5,2,146,0.9632051996007274
15,0.5,3,146,0.992688938908592
15,0.5,1,147,0.7190748416652122
15,0.5,2,147,0.8722857910245458
15,0.5,3,147,0.9819309724506887
15,0.5,1,148,0.964261195348888
15,0.5,2,148,0.8797555481262075
15,0.5,3,148,0.7574995417705214
15,0.5,1,149,0.9446565613004986
15,0.5,2,149,0.9133741053415881
15,0.5,3,149,0.6691164343435139
15,0.5,1,150,0.9461873399261215
15,0.5,2,150,0.9801229016337362
15,0.5,3,150,0.66990915130287
15,0.5,1,151,0.3347283111208423
15,0.5,2,151,0.9152399466510224
15,0.5,3,151,0.9891881450275681
15,0.5,1,152,0.9712210860588111
15,0.5,2,152,0.8496626491056427
15,0.5,3,152,0.8397561123857665
15,0.5,1,153,0.004013191925474017
15,0.5,2,153,0.8720520039608214
15,0.5,3,153,0.9199033910678819
15,0.5,1,154,0.3870490863186648
15,0.5,2,154,0.9498635119791448
15,0.5,3,154,0.7195360896829319
15,0.5,1,155,0.8822662651283336
15,0.5,2,155,0.8253016073006252
15,0.5,3,155,0.812840150259141
15,0.5,1,156,0.2803383813212198
15,0.5,2,156,0.8283880274200545
